









Frequency of observations in the selected location(s).:
Number of taxa: 	424

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Greater Scaup	0.0833604	0.0836364	0.1006637	0.0664172	0.0748731	0.071095	0.0596781	0.0900285	0.0909091	0.091253	0.1028708	0.1250871	0.1032766	0.0930863	0.0535948	0.0352043	0.0184758	0.0106415	0.0061125	7.846E-4	0.0020478	0.0016051	0.0	0.0014903	0.0	0.0	0.0010965	0.0028011	0.00199	0.0	0.0083264	0.0056037	0.0021337	0.0	0.0017316	0.0061501	0.0108844	0.0143247	0.0198582	0.0230958	0.0397644	0.0598147	0.0626487	0.0585106	0.0671343	0.0799641	0.0717557	0.1093648	
Lesser Scaup	0.0567629	0.0638961	0.0724558	0.0486436	0.0685279	0.0508563	0.0471143	0.0780627	0.1044156	0.1092199	0.1430622	0.1818815	0.1878888	0.1690014	0.1224401	0.1082697	0.0516744	0.0261478	0.0110024	0.0117693	0.0020478	0.0016051	9.217E-4	0.0014903	0.0044199	0.0011779	0.0032895	0.0035014	9.95E-4	0.0	8.326E-4	0.0010188	0.0035562	0.0038023	0.004329	0.0147601	0.0190476	0.0463847	0.0638298	0.0800983	0.1119293	0.1171019	0.1054718	0.1033435	0.0991984	0.0889488	0.0732824	0.0903733	
Greater/Lesser Scaup	0.0223808	0.0244156	0.0199115	0.02058	0.018401	0.0233524	0.0180605	0.0353276	0.0327273	0.0439716	0.0578947	0.0850174	0.0705102	0.0695888	0.0461874	0.0395218	0.0178984	0.0021283	0.00163	7.846E-4	0.0	8.026E-4	0.0	0.0	0.0	0.0011779	0.0	7.003E-4	0.0	0.0	0.0016653	0.0	7.112E-4	0.0	0.0	0.003075	0.0095238	0.0047749	0.0134752	0.0226044	0.0228277	0.0370682	0.0317209	0.0334347	0.0210421	0.049416	0.0374046	0.0543549	
Aythya sp.	0.0168667	0.0192208	0.0193584	0.0121609	0.0126904	0.0150493	0.0141343	0.0205128	0.0218182	0.0264775	0.0220096	0.0156794	0.0103691	0.0045188	0.0030501	0.0016606	0.0011547	0.0	8.15E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.326E-4	0.0	0.0	0.0	0.0	6.15E-4	0.0027211	0.0040928	0.0141844	0.0127764	0.0191458	0.0117944	0.0253767	0.0159574	0.0160321	0.0206649	0.0236641	0.0399476	
King Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Surf Scoter	0.0	5.195E-4	0.0011062	0.0	0.0	0.0015	0.0054967	0.0091168	0.0	0.0	4.785E-4	0.0013937	4.148E-4	0.0	0.0	6.642E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013643	0.0021277	0.0029484	0.0220913	0.0185341	0.0142744	0.0015198	0.001002	0.0017969	0.0	0.0045842	
White-winged Scoter	0.0029192	0.0015584	0.0016593	0.0018709	0.0050761	5.189E-4	0.0011779	0.0011396	0.0	0.0170213	9.569E-4	0.004878	4.148E-4	4.519E-4	0.0	9.963E-4	8.661E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011779	0.0	0.0	0.00199	0.0	0.0	0.0	0.0	7.605E-4	0.0	6.15E-4	0.0081633	0.0095498	0.0070922	0.002457	0.0139912	0.010952	0.0087232	0.006079	0.0	0.0017969	0.0030534	0.005239	
Black Scoter	6.487E-4	0.001039	0.0127212	0.0	0.0	0.0	7.852E-4	5.698E-4	0.0	0.0	9.569E-4	0.0	0.0	0.0045188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.803E-4	0.0	0.0042553	0.0117936	0.0036819	0.0033698	0.0023791	0.006079	0.001002	0.0	7.634E-4	6.549E-4	
Surf/Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.821E-4	0.0	0.0	0.0	0.0025274	0.0	0.0	0.0	8.985E-4	0.0	0.0	
scoter sp.	0.0	0.0	5.531E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.634E-4	0.0	
