species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Purple Martin,single-season,summer,0.07612,0.0,0.0,23,1,winter,No,
Northern Rough-winged Swallow,single-season,summer,0.159933,0.0,0.0,29,1,winter,No,
Barn Swallow,single-season,summer,0.422646,0.0,0.0,30,1,winter,No,
Cliff Swallow,single-season,summer,0.045617,0.0,0.0,23,1,winter,No,
Ruby-crowned Kinglet,two-passage-migrant,two-passage,0.275999,0.0,0.0,34,2,summer|winter,No,classic_bimodal
Golden-crowned Kinglet,two-passage-migrant,two-passage,0.229449,0.0,0.0,42,2,winter|summer,Yes,classic_bimodal
White-breasted Nuthatch,resident,year-round,0.542831,0.263626,0.4857,48,0,,No,seasonal_variation
Red-breasted Nuthatch,single-season,winter,0.137946,0.000725,0.0053,48,1,summer,No,overwintering
Brown Creeper,single-season,winter,0.093823,0.000789,0.0084,48,1,summer,No,overwintering
Blue-gray Gnatcatcher,single-season,summer,0.265046,0.0,0.0,27,1,winter,No,
Northern House Wren,single-season,summer,0.339335,0.0,0.0,31,1,winter,No,
Winter Wren,single-season,winter,0.041239,0.0,0.0,38,1,summer,Yes,overwintering
Sedge Wren,single-season,summer,0.014989,0.0,0.0,26,1,winter,No,
Marsh Wren,two-passage-migrant,two-passage,0.025055,0.0,0.0,30,2,summer|winter,No,classic_bimodal
Carolina Wren,resident,year-round,0.289199,0.124864,0.4318,48,0,,No,seasonal_variation
Bewick's Wren,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
European Starling,resident,year-round,0.346962,0.183074,0.5276,48,0,,No,
Gray Catbird,single-season,summer,0.507937,0.0,0.0,44,1,winter,No,
Brown Thrasher,two-passage-migrant,two-passage,0.057807,0.0,0.0,40,2,summer|winter,No,classic_bimodal
Sage Thrasher,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Northern Mockingbird,vagrant,irregular,0.015635,0.001607,0.1028,48,4,winter|winter|summer|winter,No,many_valleys
Eastern Bluebird,resident,year-round,0.205294,0.098956,0.482,48,0,,No,seasonal_variation
Townsend's Solitaire,vagrant,irregular,0.009823,0.0,0.0,3,1,winter,Yes,
Varied Thrush,vagrant,irregular,0.0015,0.0,0.0,6,1,winter,No,low_peak_frequency
Veery,two-passage-migrant,two-passage,0.104308,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Gray-cheeked Thrush,two-passage-migrant,two-passage,0.028223,0.0,0.0,13,2,summer|winter,No,classic_bimodal|low_presence
Swainson's Thrush,two-passage-migrant,two-passage,0.173752,0.0,0.0,21,2,summer|winter,No,classic_bimodal
Hermit Thrush,two-passage-migrant,two-passage,0.120502,0.0,0.0,34,3,winter|summer|winter,Yes,three_valley_migrant
Wood Thrush,two-passage-migrant,two-passage,0.156625,0.0,0.0,28,2,summer|winter,No,classic_bimodal
American Robin,resident,year-round,0.78643,0.232857,0.2961,48,0,,No,seasonal_variation
Bohemian Waxwing,vagrant,irregular,0.0015,0.0,0.0,2,1,winter,No,low_peak_frequency
Cedar Waxwing,single-season,summer,0.390535,0.020993,0.0538,48,1,winter,No,
House Sparrow,resident,year-round,0.372905,0.190388,0.5106,48,0,,No,
American Pipit,two-passage-migrant,two-passage,0.017161,0.0,0.0,27,2,summer|winter,No,classic_bimodal
Evening Grosbeak,single-season,summer,0.011967,0.0,0.0,14,1,winter,No,low_presence
Pine Grosbeak,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
House Finch,resident,year-round,0.371749,0.220442,0.593,48,0,,No,
Purple Finch,two-passage-migrant,two-passage,0.044569,0.0,0.0,36,2,winter|summer,Yes,classic_bimodal
Redpoll,single-season,winter,0.020456,0.0,0.0,22,1,summer,Yes,overwintering
Red Crossbill,single-season,summer,0.020519,0.0,0.0,15,1,winter,No,
White-winged Crossbill,single-season,summer,0.008751,0.0,0.0,20,1,winter,No,
